粘性,钝度,二维,外-激波后第0激波后马赫数,外-激波后第0激波后方向角,外-激波后第0激波后压缩角,外-激波后第0激波后流道高H,外-激波后第0激波后收缩比,外-激波后第0激波后sigma,外-激波后第1激波后马赫数,外-激波后第1激波后方向角,外-激波后第1激波后压缩角,外-激波后第1激波后流道高H,外-激波后第1激波后收缩比,外-激波后第1激波后sigma,外-激波后第2激波后马赫数,外-激波后第2激波后方向角,外-激波后第2激波后压缩角,外-激波后第2激波后流道高H,外-激波后第2激波后收缩比,外-激波后第2激波后sigma,外-激波后第3激波后马赫数,外-激波后第3激波后方向角,外-激波后第3激波后压缩角,外-激波后第3激波后流道高H,外-激波后第3激波后收缩比,外-激波后第3激波后sigma,内-激波后第0激波后马赫数,内-激波后第0激波后方向角,内-激波后第0激波后压缩角,内-激波后第0激波后流道高H,内-激波后第0激波后收缩比,内-激波后第0激波后sigma,内-激波后第1激波后马赫数,内-激波后第1激波后方向角,内-激波后第1激波后压缩角,内-激波后第1激波后流道高H,内-激波后第1激波后收缩比,内-激波后第1激波后sigma,内-激波后第2激波后马赫数,内-激波后第2激波后方向角,内-激波后第2激波后压缩角,内-激波后第2激波后流道高H,内-激波后第2激波后收缩比,内-激波后第2激波后sigma,压缩位置外压缩段风轴Cr,压缩位置外压缩段体轴Cr,压缩位置外压缩段长度,压缩位置外压缩段高度,压缩位置外压缩段阻力,压缩位置外压缩段比阻,压缩位置内压缩段风轴Cr,压缩位置内压缩段体轴Cr,压缩位置内压缩段长度,压缩位置内压缩段高度,压缩位置内压缩段阻力,压缩位置内压缩段比阻,压缩位置总_压_缩风轴Cr,压缩位置总_压_缩体轴Cr,压缩位置总_压_缩长度,压缩位置总_压_缩高度,压缩位置总_压_缩阻力,压缩位置总_压_缩比阻,每米宽度流量
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.588,1,0.984,2.069,8.845,6.155,63.901,1.23,0.979,1.747,0,8.845,50,1.572,0.968,1.884,1.884,370.6,150.37,2263,133.1,1.597,1.597,148.57,8.45,-277,-16.3,3.007,3.007,519.17,158.82,2540,149.4,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.57,1,0.984,1.992,6.845,8.155,60.236,1.304,0.973,1.748,0,6.845,50,1.571,0.968,1.884,1.884,370.6,150.37,2209,130,1.597,1.597,139.77,6.11,-224,-13.2,3.007,3.007,510.37,156.48,2434,143.2,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,78.619,1,0.986,2.071,8.845,6.155,63.916,1.23,0.981,1.749,0,8.845,50,1.572,0.97,1.885,1.885,370.6,150.37,2261,133,1.595,1.595,148.72,8.46,-277,-16.3,3.007,3.007,519.33,158.83,2538,149.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,78.6,1,0.986,1.993,6.845,8.155,60.247,1.305,0.975,1.749,0,6.845,50,1.572,0.97,1.885,1.885,370.6,150.37,2207,129.8,1.595,1.595,139.91,6.12,-225,-13.2,3.007,3.007,510.51,156.49,2432,143,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.537,9.635,3.988,97.919,1.536,0.99,2.311,15,5.365,79.779,1.885,0.986,2.311,15,15,78.623,1,0.986,2.071,8.845,6.155,63.918,1.23,0.981,1.749,0,8.845,50,1.572,0.97,1.885,1.885,343.38,150.37,2261,133,1.596,1.596,148.74,8.46,-277,-16.3,3.007,3.007,492.12,158.83,2538,149.3,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.537,9.635,3.988,97.919,1.536,0.99,2.311,15,5.365,79.779,1.885,0.986,2.311,15,15,78.604,1,0.986,1.994,6.845,8.155,60.248,1.305,0.975,1.749,0,6.845,50,1.572,0.97,1.885,1.885,343.38,150.37,2207,129.8,1.596,1.596,139.93,6.12,-225,-13.2,3.007,3.007,483.31,156.49,2431,143,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.449,11.635,5.988,90.598,1.66,0.986,2.31,15,3.365,79.843,1.883,0.985,2.31,15,15,78.606,1,0.985,2.07,8.845,6.155,63.91,1.23,0.979,1.748,0,8.845,50,1.572,0.968,1.883,1.883,343.38,150.37,2262,133.1,1.597,1.597,148.66,8.45,-277,-16.3,3.007,3.007,492.04,158.83,2539,149.3,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.449,11.635,5.988,90.598,1.66,0.986,2.31,15,3.365,79.843,1.883,0.985,2.31,15,15,78.587,1,0.985,1.993,6.845,8.155,60.242,1.305,0.973,1.749,0,6.845,50,1.572,0.968,1.883,1.883,343.38,150.37,2208,129.9,1.597,1.597,139.85,6.11,-224,-13.2,3.007,3.007,483.23,156.49,2432,143.1,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.508,10.278,6.631,95.496,1.575,0.988,2.31,15,4.722,79.817,1.884,0.985,2.31,15,15,78.606,1,0.985,2.07,8.845,6.155,63.91,1.23,0.98,1.748,0,8.845,50,1.572,0.968,1.884,1.884,370.6,150.37,2262,133.1,1.596,1.596,148.66,8.45,-277,-16.3,3.007,3.007,519.26,158.83,2539,149.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.508,10.278,6.631,95.496,1.575,0.988,2.31,15,4.722,79.817,1.884,0.985,2.31,15,15,78.587,1,0.985,1.993,6.845,8.155,60.242,1.305,0.974,1.749,0,6.845,50,1.572,0.969,1.884,1.884,370.6,150.37,2208,129.9,1.596,1.596,139.85,6.11,-224,-13.2,3.007,3.007,510.45,156.49,2432,143.1,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.599,8.278,4.631,103.377,1.455,0.994,2.31,15,6.722,79.773,1.885,0.986,2.31,15,15,78.61,1,0.986,2.07,8.845,6.155,63.912,1.23,0.981,1.748,0,8.845,50,1.572,0.969,1.885,1.885,370.6,150.37,2262,133,1.595,1.595,148.68,8.46,-277,-16.3,3.007,3.007,519.28,158.83,2539,149.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.599,8.278,4.631,103.377,1.455,0.994,2.31,15,6.722,79.773,1.885,0.986,2.31,15,15,78.591,1,0.986,1.993,6.845,8.155,60.244,1.305,0.974,1.749,0,6.845,50,1.572,0.969,1.885,1.885,370.6,150.37,2208,129.9,1.595,1.595,139.87,6.11,-225,-13.2,3.007,3.007,510.47,156.49,2432,143.1,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.509,10.278,4.631,95.452,1.575,0.989,2.311,15,4.722,79.773,1.885,0.986,2.311,15,15,78.627,1,0.986,2.071,8.845,6.155,63.92,1.23,0.981,1.749,0,8.845,50,1.573,0.97,1.885,1.885,343.38,150.37,2260,133,1.595,1.595,148.76,8.46,-277,-16.3,3.007,3.007,492.14,158.83,2537,149.3,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.509,10.278,4.631,95.452,1.575,0.989,2.311,15,4.722,79.773,1.885,0.986,2.311,15,15,78.608,1,0.986,1.994,6.845,8.155,60.249,1.305,0.975,1.749,0,6.845,50,1.572,0.97,1.885,1.885,343.38,150.37,2206,129.8,1.595,1.595,139.95,6.12,-225,-13.2,3.007,3.007,483.33,156.49,2431,143,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.598,8.278,2.631,103.496,1.453,0.992,2.309,15,6.722,79.878,1.883,0.983,2.309,15,15,78.584,1,0.983,2.069,8.845,6.155,63.9,1.23,0.978,1.747,0,8.845,50,1.572,0.967,1.883,1.883,343.38,150.37,2264,133.2,1.598,1.598,148.55,8.45,-277,-16.3,3.007,3.007,491.93,158.82,2540,149.4,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.598,8.278,2.631,103.496,1.453,0.992,2.309,15,6.722,79.878,1.883,0.983,2.309,15,15,78.566,1,0.983,1.992,6.845,8.155,60.235,1.304,0.972,1.748,0,6.845,50,1.571,0.967,1.883,1.883,343.38,150.37,2210,130,1.598,1.598,139.75,6.11,-224,-13.2,3.007,3.007,483.13,156.48,2434,143.2,17
0,0,1,3,0,0,150.374,1,1,2.669,6.647,6.647,111.112,1.353,0.988,2.492,10.635,3.988,94.241,1.596,0.986,2.31,15,4.365,79.884,1.882,0.984,2.31,15,15,78.599,1,0.984,2.07,8.845,6.155,63.906,1.23,0.979,1.748,0,8.845,50,1.572,0.967,1.882,1.882,330.47,150.37,2263,133.1,1.598,1.598,148.62,8.45,-277,-16.3,3.007,3.007,479.09,158.83,2539,149.4,17
0,0,1,3,0,0,150.374,1,1,2.669,6.647,6.647,111.112,1.353,0.988,2.492,10.635,3.988,94.241,1.596,0.986,2.31,15,4.365,79.884,1.882,0.984,2.31,15,15,78.58,1,0.984,1.993,6.845,8.155,60.24,1.304,0.972,1.748,0,6.845,50,1.572,0.967,1.882,1.882,330.47,150.37,2209,129.9,1.598,1.598,139.82,6.11,-224,-13.2,3.007,3.007,470.28,156.49,2433,143.1,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,78.619,1,0.986,2.071,8.845,6.155,63.916,1.23,0.981,1.749,0,8.845,50,1.572,0.97,1.885,1.885,356.76,150.37,2261,133,1.595,1.595,148.73,8.46,-277,-16.3,3.007,3.007,505.48,158.83,2538,149.3,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,78.601,1,0.986,1.993,6.845,8.155,60.247,1.305,0.975,1.749,0,6.845,50,1.572,0.97,1.885,1.885,356.76,150.37,2207,129.8,1.595,1.595,139.91,6.12,-225,-13.2,3.007,3.007,496.67,156.49,2431,143,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.493,10.635,5.988,94.116,1.598,0.988,2.311,15,4.365,79.77,1.885,0.986,2.311,15,15,78.624,1,0.986,2.071,8.845,6.155,63.918,1.23,0.981,1.749,0,8.845,50,1.572,0.97,1.885,1.885,356.76,150.37,2261,133,1.595,1.595,148.75,8.46,-277,-16.3,3.007,3.007,505.5,158.83,2538,149.3,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.493,10.635,5.988,94.116,1.598,0.988,2.311,15,4.365,79.77,1.885,0.986,2.311,15,15,78.605,1,0.986,1.994,6.845,8.155,60.248,1.305,0.975,1.749,0,6.845,50,1.572,0.97,1.885,1.885,356.76,150.37,2207,129.8,1.595,1.595,139.93,6.12,-225,-13.2,3.007,3.007,496.69,156.49,2431,143,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.582,8.635,5.988,101.976,1.475,0.991,2.31,15,6.365,79.841,1.883,0.984,2.31,15,15,78.591,1,0.984,2.07,8.845,6.155,63.903,1.23,0.979,1.748,0,8.845,50,1.572,0.968,1.883,1.883,384.94,150.37,2263,133.1,1.597,1.597,148.59,8.45,-277,-16.3,3.007,3.007,533.53,158.82,2540,149.4,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.582,8.635,5.988,101.976,1.475,0.991,2.31,15,6.365,79.841,1.883,0.984,2.31,15,15,78.573,1,0.984,1.992,6.845,8.155,60.237,1.304,0.973,1.748,0,6.845,50,1.571,0.968,1.883,1.883,384.94,150.37,2209,129.9,1.597,1.597,139.78,6.11,-224,-13.2,3.007,3.007,524.72,156.48,2433,143.1,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.538,9.635,4.988,97.864,1.537,0.991,2.312,15,5.365,79.73,1.886,0.987,2.312,15,15,78.634,1,0.987,2.071,8.845,6.155,63.923,1.23,0.982,1.749,0,8.845,50,1.573,0.971,1.886,1.886,356.76,150.37,2260,132.9,1.595,1.595,148.8,8.46,-277,-16.3,3.007,3.007,505.55,158.84,2537,149.2,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.538,9.635,4.988,97.864,1.537,0.991,2.312,15,5.365,79.73,1.886,0.987,2.312,15,15,78.634,1,0.987,2.071,8.845,6.155,63.923,1.23,0.982,1.749,0,8.845,50,1.573,0.971,1.886,1.886,356.76,150.37,2260,132.9,1.595,1.595,148.8,8.46,-277,-16.3,3.007,3.007,505.55,158.84,2537,149.2,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.614,1,0.984,2.031,7.845,7.155,62.034,1.267,0.976,1.748,0,7.845,50,1.572,0.968,1.884,1.884,370.6,150.37,2236,131.5,1.597,1.597,144.18,7.25,-251,-14.8,3.007,3.007,514.79,157.62,2487,146.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,78.645,1,0.986,2.032,7.845,7.155,62.046,1.268,0.978,1.749,0,7.845,50,1.573,0.97,1.885,1.885,370.6,150.37,2234,131.4,1.595,1.595,144.33,7.25,-252,-14.8,3.007,3.007,514.93,157.63,2485,146.2,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.537,9.635,3.988,97.919,1.536,0.99,2.311,15,5.365,79.779,1.885,0.986,2.311,15,15,78.649,1,0.986,2.032,7.845,7.155,62.048,1.268,0.978,1.75,0,7.845,50,1.573,0.97,1.885,1.885,343.38,150.37,2233,131.4,1.596,1.596,144.35,7.25,-252,-14.8,3.007,3.007,487.73,157.63,2485,146.2,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.449,11.635,5.988,90.598,1.66,0.986,2.31,15,3.365,79.843,1.883,0.985,2.31,15,15,78.631,1,0.985,2.032,7.845,7.155,62.041,1.267,0.977,1.749,0,7.845,50,1.573,0.969,1.883,1.883,343.38,150.37,2235,131.5,1.597,1.597,144.27,7.25,-251,-14.8,3.007,3.007,487.65,157.63,2486,146.2,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.508,10.278,6.631,95.496,1.575,0.988,2.31,15,4.722,79.817,1.884,0.985,2.31,15,15,78.632,1,0.985,2.032,7.845,7.155,62.041,1.267,0.977,1.749,0,7.845,50,1.573,0.969,1.884,1.884,370.6,150.37,2235,131.5,1.596,1.596,144.27,7.25,-251,-14.8,3.007,3.007,514.87,157.63,2486,146.2,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.599,8.278,4.631,103.377,1.455,0.994,2.31,15,6.722,79.773,1.885,0.986,2.31,15,15,78.636,1,0.986,2.032,7.845,7.155,62.042,1.267,0.978,1.749,0,7.845,50,1.573,0.97,1.885,1.885,370.6,150.37,2234,131.4,1.595,1.595,144.29,7.25,-252,-14.8,3.007,3.007,514.89,157.63,2486,146.2,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.509,10.278,4.631,95.452,1.575,0.989,2.311,15,4.722,79.773,1.885,0.986,2.311,15,15,78.653,1,0.986,2.032,7.845,7.155,62.049,1.268,0.978,1.75,0,7.845,50,1.573,0.971,1.885,1.885,343.38,150.37,2233,131.4,1.595,1.595,144.37,7.26,-252,-14.8,3.007,3.007,487.75,157.63,2485,146.2,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.598,8.278,2.631,103.496,1.453,0.992,2.309,15,6.722,79.878,1.883,0.983,2.309,15,15,78.61,1,0.983,2.031,7.845,7.155,62.032,1.267,0.975,1.748,0,7.845,50,1.572,0.968,1.883,1.883,343.38,150.37,2236,131.6,1.598,1.598,144.16,7.25,-251,-14.8,3.007,3.007,487.54,157.62,2488,146.3,17
0,0,1,3,0,0,150.374,1,1,2.669,6.647,6.647,111.112,1.353,0.988,2.492,10.635,3.988,94.241,1.596,0.986,2.31,15,4.365,79.884,1.882,0.984,2.31,15,15,78.625,1,0.984,2.031,7.845,7.155,62.038,1.267,0.976,1.749,0,7.845,50,1.572,0.968,1.882,1.882,330.47,150.37,2235,131.5,1.598,1.598,144.23,7.25,-251,-14.8,3.007,3.007,474.7,157.62,2486,146.3,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,78.645,1,0.986,2.032,7.845,7.155,62.046,1.268,0.978,1.749,0,7.845,50,1.573,0.971,1.885,1.885,356.76,150.37,2234,131.4,1.595,1.595,144.33,7.25,-252,-14.8,3.007,3.007,501.09,157.63,2485,146.2,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.493,10.635,5.988,94.116,1.598,0.988,2.311,15,4.365,79.77,1.885,0.986,2.311,15,15,78.649,1,0.986,2.032,7.845,7.155,62.048,1.268,0.978,1.75,0,7.845,50,1.573,0.971,1.885,1.885,356.76,150.37,2233,131.4,1.595,1.595,144.35,7.26,-252,-14.8,3.007,3.007,501.11,157.63,2485,146.2,17
0,0,1,3,0,0,150.374,1,1,2.866,2.647,2.647,132.437,1.135,0.999,2.582,8.635,5.988,101.976,1.475,0.991,2.31,15,6.365,79.841,1.883,0.984,2.31,15,15,78.617,1,0.984,2.031,7.845,7.155,62.035,1.267,0.976,1.748,0,7.845,50,1.572,0.968,1.883,1.883,384.94,150.37,2236,131.5,1.597,1.597,144.2,7.25,-251,-14.8,3.007,3.007,529.14,157.62,2487,146.3,17
0,0,1,4,0,0,198.907,1,1,3.72,3.845,3.845,155.215,1.281,0.995,3.439,8.126,4.281,120.358,1.653,0.989,2.985,15.9,7.774,80.427,2.473,0.963,2.985,15.9,15.9,96.021,1,0.963,2.663,9.406,6.494,71.519,1.343,0.952,2.251,0,9.406,50,1.92,0.93,2.473,2.473,644.88,198.91,2714,161.5,1.609,1.609,229.42,15.51,-455,-27.1,3.978,3.978,874.3,214.42,3169,188.6,16.8
0,0,1,4,0,0,198.907,1,1,3.72,3.845,3.845,155.215,1.281,0.995,3.439,8.126,4.281,120.358,1.653,0.989,2.985,15.9,7.774,80.427,2.473,0.963,2.985,15.9,15.9,95.971,1,0.963,2.566,7.406,8.494,66.046,1.453,0.94,2.252,0,7.406,50,1.919,0.93,2.473,2.473,644.88,198.91,2649,157.7,1.609,1.609,214.28,11.25,-379,-22.6,3.978,3.978,859.16,210.16,3027,180.2,16.8
0,0,1,4,0,0,198.907,1,1,3.72,3.845,3.845,155.215,1.281,0.995,3.311,10.126,6.281,108.057,1.841,0.977,2.988,15.9,5.774,80.319,2.476,0.967,2.988,15.9,15.9,96.093,1,0.967,2.666,9.406,6.494,71.549,1.343,0.956,2.253,0,9.406,50,1.922,0.934,2.476,2.476,644.88,198.91,2709,161.3,1.606,1.606,229.79,15.54,-456,-27.1,3.978,3.978,874.67,214.45,3165,188.4,16.8
0,0,1,4,0,0,198.907,1,1,3.72,3.845,3.845,155.215,1.281,0.995,3.311,10.126,6.281,108.057,1.841,0.977,2.988,15.9,5.774,80.319,2.476,0.967,2.988,15.9,15.9,96.043,1,0.967,2.568,7.406,8.494,66.068,1.454,0.944,2.254,0,7.406,50,1.921,0.934,2.476,2.476,644.88,198.91,2644,157.4,1.606,1.606,214.62,11.27,-380,-22.6,3.978,3.978,859.5,210.18,3024,180,16.8
0,0,1,4,0,0,198.907,1,1,3.579,5.845,5.845,137.985,1.442,0.982,3.312,10.126,4.281,108.096,1.84,0.977,2.988,15.9,5.774,80.345,2.476,0.967,2.988,15.9,15.9,96.104,1,0.967,2.666,9.406,6.494,71.554,1.343,0.956,2.254,0,9.406,50,1.922,0.934,2.476,2.476,588.07,198.91,2708,161.2,1.607,1.607,229.85,15.55,-456,-27.1,3.978,3.978,817.92,214.45,3164,188.4,16.8
0,0,1,4,0,0,198.907,1,1,3.579,5.845,5.845,137.985,1.442,0.982,3.312,10.126,4.281,108.096,1.84,0.977,2.988,15.9,5.774,80.345,2.476,0.967,2.988,15.9,15.9,96.054,1,0.967,2.569,7.406,8.494,66.071,1.454,0.944,2.254,0,7.406,50,1.921,0.934,2.476,2.476,588.07,198.91,2643,157.3,1.607,1.607,214.67,11.28,-380,-22.6,3.978,3.978,802.74,210.18,3023,179.9,16.8
0,0,1,4,0,0,198.907,1,1,3.579,5.845,5.845,137.985,1.442,0.982,3.191,12.126,6.281,97.447,2.041,0.967,2.987,15.9,3.774,80.478,2.472,0.964,2.987,15.9,15.9,96.067,1,0.964,2.665,9.406,6.494,71.538,1.343,0.953,2.252,0,9.406,50,1.921,0.931,2.472,2.472,588.07,198.91,2711,161.4,1.61,1.61,229.65,15.53,-455,-27.1,3.978,3.978,817.72,214.44,3166,188.4,16.8
